Time period,PercentPrevalence
27 April 2020 to 10 May 2020,0.27
04 May 2020 to 17 May 2020,0.25
11 May 2020 to 24 May 2020,0.24
17 May 2020 to 30 May 2020,0.1
25 May 2020 to 07 June 2020,0.06
31 May 2020 to 13 June 2020,0.06
08 June 2020 to 21 June 2020,0.09
14 June 2020 to 27 June 2020,0.04
22 June 2020 to 05 July 2020,0.03
06 July 2020 to 12 July 2020,0.04
13 July 2020 to 19 July 2020,0.05
20 July 2020 to 26 July 2020,0.07
27 July 2020 to 02 August 2020,0.05
03 August 2020 to 09 August 2020,0.05
07 August 2020 to 13 August 2020,0.05
14 August 2020 to 20 August 2020,0.05
19 August 2020 to 25 August 2020,0.05
30 August 2020 to 05 September 2020,0.07
04 September 2020 to 10 September 2020,0.11
13 September 2020 to 19 September 2020,0.19
18 September 2020 to 24 September 2020,0.21
25 September 2020 to 01 October 2020,0.41
02 October 2020 to 08 October 2020,0.62
10 October 2020 to 16 October 2020,0.79
17 October 2020 to 23 October 2020,1.04
25 October 2020 to 31 October 2020,1.13
31 October 2020 to 06 November 2020,1.2
08 November 2020 to 14 November 2020,1.22
15 November 2020 to 21 November 2020,1.16
22 November 2020 to 28 November 2020,0.96
29 November 2020 to 05 December 2020,0.88
06 December 2020 to 12 December 2020,1.04
12 December 2020 to 18 December 2020,1.18
17 December 2020 to 23 December 2020,1.47
27 December 2020 to 02 January 2021,2.06
03 January 2021 to 09 January 2021,2.08
10 January 2021 to 16 January 2021,1.88
17 January 2021 to 23 January 2021,1.87
24 January 2021 to 30 January 2021,1.55
31 January 2021 to 06 February 2021,1.28
06 February 2021 to 12 February 2021,0.88
13 February 2021 to 19 February 2021,0.69
21 February 2021 to 27 February 2021,0.45
28 February 2021 to 06 March 2021,0.37
07 March 2021 to 13 March 2021,0.29
14 March 2021 to 20 March 2021,0.3
21 March 2021 to 27 March 2021,0.27
28 March 2021 to 03 April 2021,0.3
04 April 2021 to 10 April 2021,0.21
10 April 2021 to 16 April 2021,0.17
18 April 2021 to 24 April 2021,0.1
26 April 2021 to 02 May 2021,0.08
02 May 2021 to 08 May 2021,0.07
09 May 2021 to 15 May 2021,0.09
16 May 2021 to 22 May 2021,0.09
23 May 2021 to 29 May 2021,0.16
30 May 2021 to 05 June 2021,0.18
06 June 2021 to 12 June 2021,0.19
13 June 2021 to 19 June 2021,0.22
20 June 2021 to 26 June 2021,0.39
27 June 2021 to 03 July 2021,0.61
04 July 2021 to 10 July 2021,1.06
11 July 2021 to 17 July 2021,1.36
18 July 2021 to 24 July 2021,1.57
25 July 2021 to 31 July 2021,1.32
31 July 2021 to 06 August 2021,1.33
08 August 2021 to 14 August 2021,1.28
14 August 2021 to 20 August 2021,1.39
21 August 2021 to 27 August 2021,1.41
28 August 2021 to 03 September 2021,1.38
05 September 2021 to 11 September 2021,1.28
12 September 2021 to 18 September 2021,1.14
19 September 2021 to 25 September 2021,1.21
26 September 2021 to 02 October 2021,1.44
03 October 2021 to 09 October 2021,1.63
10 October 2021 to 16 October 2021,1.79
16 October 2021 to 22 October 2021,2.02
24 October 2021 to 30 October 2021,2.02
31 October 2021 to 06 November 2021,1.7
07 November 2021 to 13 November 2021,1.51
14 November 2021 to 20 November 2021,1.58
21 November 2021 to 27 November 2021,1.65
25 November 2021 to 01 December 2021,1.64
05 December 2021 to 11 December 2021,1.72
10 December 2021 to 16 December 2021,2.21
13 December 2021 to 19 December 2021,2.83
17 December 2021 to 23 December 2021,3.71
25 December 2021 to 31 December 2021,6
31 December 2021 to 06 January 2022,6.85
09 January 2022 to 15 January 2022,5.47
16 January 2022 to 22 January 2022,4.82
23 January 2022 to 29 January 2022,4.83
30 January 2022 to 05 February 2022,5.18
06 February 2022 to 12 February 2022,4.49
13 February 2022 to 19 February 2022,3.84
20 February 2022 to 26 February 2022,3.55
27 February 2022 to 05 March 2022,3.8
06 March 2022 to 12 March 2022,4.87
13 March 2022 to 19 March 2022,6.39
20 March 2022 to 26 March 2022,7.56
27 March 2022 to 02 April 2022,7.6
03 April 2022 to 09 April 2022,6.92
10 April 2022 to 16 April 2022,5.9
17 April 2022 to 23 April 2022,4.42
24 April 2022 to 30 April 2022,2.91
01 May 2022 to 07 May 2022,2.21
07 May 2022 to 13 May 2022,1.9
15 May 2022 to 21 May 2022,1.6
