Age,mx,MaleDeathRate,lx,dx,ex,,qx,FemaleDeathRate,lx,dx,ex
0,0.004276,0.004267,100000.0,426.7,79.37,,0.003542,0.003536,100000.0,353.6,83.06
1,0.000243,0.000243,99573.3,24.2,78.71,,0.000213,0.000213,99646.4,21.2,82.35
2,0.000132,0.000132,99549.1,13.1,77.72,,0.000127,0.000127,99625.2,12.6,81.37
3,0.000101,0.000101,99536.0,10.0,76.73,,0.000098,0.000098,99612.6,9.8,80.38
4,0.000097,0.000097,99526.0,9.7,75.74,,0.000068,0.000068,99602.7,6.7,79.39
5,0.000085,0.000085,99516.3,8.5,74.75,,0.000086,0.000086,99596.0,8.6,78.39
6,0.000088,0.000088,99507.8,8.8,73.76,,0.000082,0.000082,99587.4,8.1,77.40
7,0.000069,0.000069,99499.1,6.8,72.76,,0.000062,0.000062,99579.3,6.2,76.41
8,0.000067,0.000067,99492.2,6.7,71.77,,0.000064,0.000064,99573.1,6.4,75.41
9,0.000059,0.000059,99485.5,5.9,70.77,,0.000053,0.000053,99566.7,5.3,74.42
10,0.000074,0.000074,99479.7,7.4,69.78,,0.000064,0.000064,99561.5,6.4,73.42
11,0.000085,0.000085,99472.3,8.5,68.78,,0.000066,0.000066,99555.1,6.5,72.42
12,0.000105,0.000105,99463.8,10.4,67.79,,0.000060,0.000060,99548.5,5.9,71.43
13,0.000127,0.000127,99453.4,12.6,66.79,,0.000080,0.000080,99542.6,8.0,70.43
14,0.000121,0.000121,99440.8,12.1,65.80,,0.000101,0.000101,99534.6,10.1,69.44
15,0.000174,0.000174,99428.7,17.3,64.81,,0.000112,0.000112,99524.6,11.1,68.45
16,0.000227,0.000227,99411.4,22.6,63.82,,0.000147,0.000147,99513.4,14.6,67.45
17,0.000316,0.000316,99388.8,31.4,62.84,,0.000159,0.000159,99498.8,15.8,66.46
18,0.000400,0.000400,99357.4,39.8,61.86,,0.000227,0.000227,99483.0,22.6,65.47
19,0.000448,0.000448,99317.6,44.5,60.88,,0.000200,0.000200,99460.4,19.9,64.49
20,0.000508,0.000508,99273.1,50.4,59.91,,0.000190,0.000190,99440.5,18.9,63.50
21,0.000513,0.000513,99222.7,50.9,58.94,,0.000211,0.000211,99421.6,21.0,62.51
22,0.000505,0.000504,99171.9,50.0,57.97,,0.000229,0.000229,99400.6,22.7,61.53
23,0.000505,0.000505,99121.8,50.0,57.00,,0.000222,0.000222,99377.9,22.0,60.54
24,0.000552,0.000552,99071.8,54.7,56.03,,0.000222,0.000222,99355.8,22.1,59.55
25,0.000598,0.000598,99017.1,59.2,55.06,,0.000254,0.000254,99333.8,25.2,58.57
26,0.000581,0.000581,98957.9,57.5,54.09,,0.000262,0.000262,99308.6,26.0,57.58
27,0.000621,0.000621,98900.4,61.4,53.12,,0.000292,0.000292,99282.6,29.0,56.60
28,0.000695,0.000695,98839.0,68.7,52.15,,0.000314,0.000314,99253.5,31.2,55.61
29,0.000732,0.000732,98770.3,72.3,51.19,,0.000320,0.000320,99222.4,31.8,54.63
30,0.000771,0.000771,98698.0,76.1,50.23,,0.000370,0.000370,99190.6,36.7,53.65
31,0.000835,0.000835,98621.9,82.3,49.26,,0.000394,0.000394,99153.9,39.0,52.67
32,0.000835,0.000835,98539.6,82.3,48.30,,0.000453,0.000453,99114.9,44.9,51.69
33,0.000929,0.000929,98457.3,91.5,47.34,,0.000486,0.000486,99070.0,48.2,50.71
34,0.000957,0.000957,98365.9,94.1,46.39,,0.000556,0.000556,99021.8,55.0,49.74
35,0.001074,0.001073,98271.7,105.5,45.43,,0.000582,0.000582,98966.8,57.6,48.76
36,0.001147,0.001146,98166.3,112.5,44.48,,0.000645,0.000645,98909.2,63.8,47.79
37,0.001310,0.001309,98053.7,128.3,43.53,,0.000784,0.000784,98845.3,77.5,46.82
38,0.001262,0.001261,97925.4,123.5,42.59,,0.000732,0.000732,98767.9,72.3,45.86
39,0.001400,0.001399,97801.9,136.8,41.64,,0.000853,0.000852,98695.6,84.1,44.89
40,0.001530,0.001529,97665.1,149.3,40.70,,0.000903,0.000902,98611.5,89.0,43.93
41,0.001671,0.001670,97515.7,162.8,39.76,,0.000986,0.000986,98522.5,97.1,42.97
42,0.001819,0.001818,97352.9,176.9,38.83,,0.001073,0.001073,98425.4,105.6,42.01
43,0.002004,0.002002,97175.9,194.6,37.90,,0.001172,0.001171,98319.8,115.2,41.05
44,0.002095,0.002093,96981.4,203.0,36.97,,0.001317,0.001316,98204.7,129.3,40.10
45,0.002350,0.002347,96778.4,227.2,36.05,,0.001426,0.001425,98075.4,139.8,39.15
46,0.002491,0.002488,96551.3,240.2,35.13,,0.001566,0.001564,97935.6,153.2,38.21
47,0.002700,0.002696,96311.0,259.7,34.22,,0.001696,0.001695,97782.4,165.7,37.27
48,0.002856,0.002852,96051.3,273.9,33.31,,0.001842,0.001840,97616.7,179.6,36.33
49,0.003194,0.003189,95777.4,305.4,32.40,,0.001945,0.001943,97437.1,189.3,35.40
50,0.003385,0.003379,95472.0,322.6,31.50,,0.002171,0.002169,97247.8,210.9,34.47
51,0.003612,0.003606,95149.4,343.1,30.61,,0.002360,0.002358,97036.9,228.8,33.54
52,0.003914,0.003907,94806.3,370.4,29.72,,0.002560,0.002557,96808.1,247.5,32.62
53,0.004133,0.004125,94436.0,389.5,28.83,,0.002701,0.002697,96560.5,260.4,31.70
54,0.004488,0.004478,94046.4,421.1,27.95,,0.002918,0.002914,96300.1,280.6,30.78
55,0.004772,0.004760,93625.3,445.7,27.07,,0.003199,0.003194,96019.5,306.7,29.87
56,0.005404,0.005389,93179.6,502.2,26.20,,0.003548,0.003542,95712.8,339.0,28.97
57,0.005874,0.005856,92677.4,542.8,25.34,,0.003823,0.003816,95373.8,363.9,28.07
58,0.006415,0.006394,92134.7,589.1,24.49,,0.004239,0.004230,95009.9,401.9,27.17
59,0.006954,0.006930,91545.5,634.4,23.64,,0.004627,0.004616,94608.0,436.7,26.29
60,0.007624,0.007595,90911.1,690.5,22.80,,0.005067,0.005054,94171.2,476.0,25.41
61,0.008348,0.008313,90220.6,750.0,21.97,,0.005507,0.005492,93695.2,514.6,24.53
62,0.009266,0.009223,89470.6,825.2,21.15,,0.006284,0.006264,93180.6,583.7,23.67
63,0.010230,0.010178,88645.4,902.3,20.34,,0.006737,0.006714,92596.9,621.7,22.81
64,0.011007,0.010947,87743.1,960.5,19.55,,0.007291,0.007264,91975.2,668.1,21.96
65,0.012097,0.012025,86782.6,1043.5,18.76,,0.008020,0.007988,91307.1,729.4,21.12
66,0.013419,0.013330,85739.0,1142.9,17.98,,0.008609,0.008573,90577.7,776.5,20.29
67,0.014542,0.014437,84596.1,1221.3,17.22,,0.009424,0.009380,89801.2,842.3,19.46
68,0.015864,0.015740,83374.8,1312.3,16.46,,0.010383,0.010330,88958.9,918.9,18.64
69,0.017440,0.017289,82062.5,1418.8,15.72,,0.011360,0.011296,88040.0,994.5,17.83
70,0.018455,0.018286,80643.8,1474.7,14.99,,0.012515,0.012437,87045.5,1082.6,17.02
71,0.020484,0.020276,79169.1,1605.3,14.26,,0.013427,0.013337,85962.9,1146.5,16.23
72,0.022578,0.022326,77563.8,1731.7,13.54,,0.015358,0.015241,84816.4,1292.7,15.44
73,0.025829,0.025500,75832.1,1933.7,12.84,,0.017499,0.017347,83523.7,1448.9,14.68
74,0.028524,0.028123,73898.4,2078.2,12.16,,0.019352,0.019167,82074.7,1573.1,13.93
75,0.031903,0.031402,71820.2,2255.3,11.50,,0.021670,0.021437,80501.7,1725.7,13.19
76,0.035742,0.035115,69564.8,2442.8,10.85,,0.024514,0.024217,78775.9,1907.7,12.47
77,0.039607,0.038838,67122.1,2606.9,10.23,,0.027686,0.027308,76868.2,2099.1,11.76
78,0.044489,0.043521,64515.2,2807.8,9.63,,0.031448,0.030961,74769.1,2314.9,11.08
79,0.049284,0.048099,61707.4,2968.1,9.04,,0.035086,0.034481,72454.2,2498.3,10.42
80,0.055479,0.053982,58739.4,3170.9,8.47,,0.039217,0.038463,69955.9,2690.7,9.77
81,0.061932,0.060071,55568.5,3338.1,7.93,,0.044607,0.043634,67265.2,2935.0,9.14
82,0.068800,0.066512,52230.4,3473.9,7.40,,0.050187,0.048958,64330.1,3149.5,8.54
83,0.078350,0.075396,48756.5,3676.0,6.89,,0.057897,0.056269,61180.6,3442.5,7.95
84,0.088506,0.084755,45080.5,3820.8,6.41,,0.066047,0.063935,57738.1,3691.5,7.39
85,0.099367,0.094664,41259.7,3905.8,5.96,,0.075186,0.072462,54046.6,3916.3,6.87
86,0.112884,0.106853,37353.9,3991.4,5.53,,0.086696,0.083094,50130.3,4165.5,6.36
87,0.126060,0.118585,33362.5,3956.3,5.14,,0.098044,0.093462,45964.7,4296.0,5.89
88,0.142887,0.133359,29406.2,3921.6,4.76,,0.112417,0.106434,41668.8,4435.0,5.45
89,0.161989,0.149851,25484.6,3818.9,4.41,,0.126463,0.118942,37233.8,4428.7,5.04
90,0.173358,0.159530,21665.7,3456.3,4.10,,0.144067,0.134387,32805.1,4408.6,4.65
91,0.196662,0.179055,18209.4,3260.5,3.79,,0.163045,0.150755,28396.5,4280.9,4.30
92,0.218463,0.196950,14948.9,2944.2,3.51,,0.182309,0.167079,24115.6,4029.2,3.97
93,0.240952,0.215044,12004.7,2581.5,3.24,,0.203060,0.184344,20086.4,3702.8,3.67
94,0.270259,0.238086,9423.2,2243.5,2.99,,0.227750,0.204467,16383.6,3349.9,3.38
95,0.300189,0.261012,7179.6,1874.0,2.77,,0.257603,0.228210,13033.7,2974.4,3.12
96,0.334696,0.286714,5305.7,1521.2,2.58,,0.286714,0.250765,10059.3,2522.5,2.90
97,0.358648,0.304113,3784.5,1150.9,2.41,,0.308214,0.267058,7536.8,2012.8,2.70
98,0.389331,0.325892,2633.6,858.3,2.25,,0.340907,0.291260,5524.0,1608.9,2.51
99,0.453296,0.369540,1775.3,656.0,2.09,,0.366200,0.309526,3915.1,1211.8,2.33
100,0.475839,0.384386,1119.3,430.2,2.02,,0.414530,0.343363,2703.3,928.2,2.15
